item,itemLabel,position,positionLabel,start,psid
Q11852109,Antti Kaikkonen,Q188393,Minister of Defence of Finland,2019-12-10,Q11852109-2952F285-2504-4B41-B277-BE3BC9B758DB
Q11852135,Antti Kurvinen,Q21141009,Minister of Science and Culture,2021-05-27,Q11852135-cd76dc5a-4358-694a-7464-7a76b69d26ee
Q11866066,Jari Leppä,Q24205201,Minister of Agriculture and Forestry,2019-12-10,Q11866066-3b224371-4b55-dd44-12da-60bf9b314186
Q11873020,Krista Mikkonen,Q1445938,Minister of the Interior,2021-11-19,Q11873020-243cabab-4c1f-34e3-2286-afc091121cb2
Q11898869,Tuula Haatainen,Q10563305,Finnish Minister of Employment,2019-12-10,Q11898869-c045b3f4-4b30-bcb9-f971-3317673a529a
Q11898995,Tytti Tuppurainen,Q11894988,"Finnish Minister for European Affairs, Culture and Sport",2019-12-10,Q11898995-b768a82a-491c-ffc9-07f2-da4ca509f9eb
Q16298585,Timo Harakka,Q11895063,Finnish Minister of Transport and Communications,2019-12-10,Q16298585-5a45f652-4997-17fb-80f4-b59d1bf3aa92
Q16299674,Emma Kari,Q1425432,Minister of the Environment and Climate Change,2021-11-19,Q16299674-fc1362bb-4bf7-a65c-6b52-d3c79b0c17a9
Q16984784,Mika Lintilä,Q10495404,Minister of Economic Affairs,2019-12-10,Q16984784-65177bb2-45b7-6285-860b-a56f97d6d5c6
Q16986436,Sanna Marin,Q738695,Prime Minister of Finland,2019-12-10,Q16986436-13c80eae-44a8-c2b9-d4c4-f5b52331c870
Q16989600,Sirpa Paatero,Q107550995,Minister of Local Government,2019-12-10,Q16989600-59f407e7-4f24-08ce-6eab-e189d4f29751
Q16990389,Hanna Sarkkinen,Q18694348,Minister of Social Affairs and Health,2021-06-29,Q16990389-c43ca183-4e86-f234-53cc-b0453fefbe00
Q2850448,Anna-Maja Henriksson,Q1294631,Minister of Justice of Finland,2019-12-10,Q2850448-a7aedb11-4701-c1da-49bd-c340589366ad
Q317485,Pekka Haavisto,Q2386529,Minister for Foreign Affairs of Finland,2019-12-10,Q317485-7182eba9-4a85-3f97-d49f-74a707972cc1
Q4935864,Li Andersson,Q11895091,Minister of Education,2021-06-29,Q4935864-0c104afd-4a18-fe49-d5bf-8178ca14ade4
Q5485318,Ville Skinnari,Q107551007,Finnish Minister for Development Cooperation and Foreign Trade,2019-12-10,Q5485318-cacbdbb4-4a81-ca69-a090-b9e5dd71afc6
Q5579704,Thomas Blomqvist,Q107550937,Finnish Minister for Nordic Cooperation,2019-12-10,Q5579704-d07ad564-435d-ea1b-245a-6883b33b024b
Q63093968,Aki Lindén,Q11895097,Minister of Family Affairs and Social Services,2022-02-04,Q63093968-EC238830-74FE-484D-8123-544F1D2B2953
Q7045446,Annika Saarikko,Q2367542,Minister of Finance,2021-05-27,Q7045446-0258f2e2-4121-ad36-c12a-a818f8803613
Q7045446,Annika Saarikko,Q3278079,Deputy Prime Minister of Finland,2020-09-10,Q7045446-eb227e3b-4d03-6d0a-856c-e528de74c2d4
