wanted,position,positionid,from,start,end
Q7045446,Minister of Science and Culture,Q21141009,Q5648706,2019-08-09,2020-08-05
Q5485318,Minister for European Affairs and Foreign Trade,Q11895142,Q4984722,2018-02-12,2019-06-06
Q11875437,Minister for International Development,Q17118521,Q16989600,2014-09-26,2015-05-29
Q964549,Minister of the Environment and Climate Change,Q1425432,Q5406165,2014-09-26,2015-05-28
Q16980286,Minister of Transport and Local Government,Q25713902,Q2983780,2014-06-24,2015-05-29
Q4349014,Minister of Transport and Local Government,Q25713902,Q2983780,2014-06-24,2015-05-29
Q779418,Minister of Social Affairs and Health,Q18694348,Q546665,2014-06-24,2015-05-29
Q2983780,Minister of Transport,Q15934457,Q2983767,2014-04-04,2014-06-24
Q2332874,Minister of Communications,Q18694351,Q3071916,2007-04-19,2011-06-21
Q657282,Minister of Culture,Q23725756,Q983658,2007-04-19,2011-06-22
Q765588,Minister of the Ministry of Finance,Q5482321,Q105068,2007-04-19,2010-06-21
Q3071916,Minister of Transport and Communications,Q11895063,Q546665,2005-09-23,2007-04-19
Q3180769,Minister for European Affairs and Foreign Trade,Q11895142,Q105068,2005-09-02,2006-03-03
Q11868692,Minister of Culture,Q23725756,Q3071916,1999-04-15,2002-06-04
Q1168762,Deputy Prime Minister,Q3278079,Q29207,1995-04-13,2001-08-30
