position,title
Q29558,President
Q738695,Prime Minister
Q3278079,Deputy Prime Minister
Q24205201,Minister of Agriculture and Forestry
Q18694351,Minister of Communications
Q23725756,Minister of Culture
Q46995758,Minister of Culture and Housing
Q188393,Minister of Defence
Q107551007,Minister for Development Cooperation and Foreign Trade
Q10495404,Minister of Economic Affairs
Q11895091,Minister of Education
Q10563305,Minister of Employment
Q1425432,Minister of the Environment and Climate Change
Q11895142,Minister for European Affairs and Foreign Trade
Q11894988,"Minister for European Affairs, Culture and Sport"
Q11895097,Minister of Family Affairs and Social Services
Q2367542,Minister of Finance
Q2386529,Minister for Foreign Affairs
Q18694340,Minister of Housing
Q1445938,Minister of the Interior
Q17118521,Minister for International Development
Q1294631,Minister of Justice
Q107550995,Minister of Local Government
Q46991594,Minister of Local Government and Public Reforms
Q107550937,Minister for Nordic Cooperation
Q21141009,Minister of Science and Culture
Q18694348,Minister of Social Affairs and Health
Q10495390,Minister of Trade and Industry
Q15934457,Minister of Transport
Q11895063,Minister of Transport and Communications
Q25713902,Minister of Transport and Local Government
Q5482321,Minister of the Ministry of Finance
Q392228,Speaker of the Parliament
Q1760217,Chancellor of Justice
Q100511448,Deputy Chancellor of Justice
Q7250571,Prosecutor General
Q5097018,Chief of Defence
Q56816987,Governor of the Bank of Finland
Q11862151,mayor of Helsinki
